Arr Date,Dep Date,Ship,Berth,Port,Agent,To
Tue 12 Feb 2019 02:30,Tue 19 Mar 2019 00:00,ATROTOS HERACLES,North Anchorage 08,Hay Point,Wilhelmsen Ships Services (Mackay),DBCT Berth 1
Tue 12 Feb 2019 10:30,Thu 21 Mar 2019 00:00,W-STAR,North Anchorage 11,Hay Point,Monson Agencies Australia (Mackay),DBCT Berth 3
Tue 12 Feb 2019 14:48,Sun 17 Mar 2019 00:00,BLUE LHOTSE,North Anchorage 04,Hay Point,Ben Line Agencies,DBCT Berth 2
Tue 12 Mar 2019 00:30,Fri 15 Mar 2019 18:00,MOLENGRACHT,Fisherman Island No 1,Brisbane,Asiaworld Shipping (Multi Regions),SEA
Tue 12 Mar 2019 08:48,Fri 15 Mar 2019 20:00,PEAK SPIRIT,Caltex Fisherman Island,Brisbane,Gulf Agency Company (Brisbane),Ship to ship Transfer Anchorage #1
Tue 12 Mar 2019 11:04,Sat 16 Mar 2019 08:00,PARIS TRADER,Fisherman Island No 3,Brisbane,China Navigation Company Pty Ltd (Brisbane),SEA
Tue 12 Mar 2019 12:10,Wed 20 Mar 2019 12:34,SHIN KORYU,North Anchorage 5,Gladstone,Inchcape Shipping Services (Queensland),Clinton Coal
Tue 12 Mar 2019 12:36,,KNIGHT WATCH,Admiralty Anchorage,Cairns,Carpentaria Contracting,
Tue 12 Mar 2019 12:36,,SSB 1802,Admiralty Anchorage,Cairns,Carpentaria Contracting,
Tue 12 Mar 2019 13:54,Thu 14 Mar 2019 16:24,HL POWER,Abbot Point 1,Abbot Point,Monson Agencies Australia (Townsville & Abbot Point),SEA
Tue 12 Mar 2019 15:30,Mon 18 Mar 2019 00:00,ALPHA COSMOS,North Anchorage 16,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Tue 12 Mar 2019 16:20,Fri 15 Mar 2019 04:00,LOWLANDS ENERGY,South Trees West,Gladstone,Wilhelmsen Ships Service (Gladstone),SEA
Tue 12 Mar 2019 17:41,,KOGARAH,Horn Island Anchorage,Thursday Island,Sea Swift Pty Ltd,
Tue 12 Mar 2019 18:00,Wed 20 Mar 2019 00:00,CAPE HOPE,South Anchorage 14,Hay Point,Monson Agencies Australia (Mackay),HPS Berth 2
Tue 12 Mar 2019 18:30,Thu 28 Mar 2019 00:00,CHORUS,South Anchorage 11,Hay Point,Inchcape Shipping Services (Queensland),HPS Berth 1
Tue 12 Mar 2019 20:24,Fri 15 Mar 2019 10:45,ROSCO OLIVE,Clinton Coal 2,Gladstone,Sturrock Grindrod Maritime (Gladstone),SEA
Tue 12 Mar 2019 22:55,Mon 18 Mar 2019 00:00,HL BORYEONG,North Anchorage 19,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 3
Tue 17 Jul 2018 16:35,,BARU,Tropical Reef Slipway,Cairns,Swiss Aluminium Australia Ltd,
Tue 18 Dec 2018 14:40,,BRISBANE,Fisherman Island Pump Out,Brisbane,Port of Brisbane Pty Ltd,
Tue 19 Feb 2019 08:27,Fri 15 Mar 2019 10:00,BLACK PANTHER,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,SEA
Tue 19 Feb 2019 08:27,Fri 15 Mar 2019 10:00,PMG 183W,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,SEA
Tue 19 Feb 2019 10:30,,SURI,Gold Coast City Marina,Southport,Major Yacht Services (Brisbane),
Tue 23 Oct 2018 01:52,,HEART ISLAND,Hardy Reef,Whitsunday,Owner / Agent / Master (Mackay),
Tue 26 Feb 2019 11:26,Sat 16 Mar 2019 05:30,MEHMED FATIH,Off Shore Anchorage 10,Hay Point,LBH Australia Pty Ltd (Mackay),HPS Berth 3
Tue 29 Jan 2019 17:25,,P. RELIANCE,Bulk Loading Facility,Skardon River,Transhipment Services Australia Pty Ltd,
Wed 03 May 2017 20:25,,PT NAUTILUS,Raptis Trawler Berths,Brisbane,Pacific Tug (Australia) Pty Ltd,
Wed 03 Oct 2018 08:50,,PMG 124,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Wed 03 Oct 2018 11:30,,PMG 151,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Wed 04 Apr 2018 18:00,,PLATINUM,Rivergate Yacht Marina,Brisbane,Owner / Agent / Master (Brisbane),
Wed 05 Dec 2018 20:22,,KARAMA,Bulk Loading Facility,Skardon River,Transhipment Services Australia Pty Ltd,
Wed 05 Jul 2017 08:50,,MORETON ESCAPE,Toondah Harbour,Brisbane,Stradbroke Ferries Limited,
Wed 05 Sep 2018 14:24,,MDT1801,Queensport,Brisbane,Bhagwan Marine Brisbane,
Wed 06 Mar 2019 09:30,Sun 24 Mar 2019 00:00,ORIENT ANGEL,North Anchorage 03,Hay Point,Gulf Agency Company (Mackay),DBCT Berth 3
Wed 06 Mar 2019 15:17,Fri 29 Mar 2019 00:00,PRABHU DAS,North Anchorage 23,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Wed 06 Mar 2019 23:59,Tue 19 Mar 2019 12:34,MG HAMMOND,East Anchorage 10,Gladstone,Monson Agencies Australia (Gladstone),Clinton Coal
Wed 10 Oct 2018 10:30,,PT ZARKA,Raptis Trawler Berths,Brisbane,Pacific Tug (Aust) PTY LTD,
Wed 10 Oct 2018 10:30,,COONGAN,Raptis Trawler Berths,Brisbane,Pacific Tug (Aust) PTY LTD,
Wed 10 Oct 2018 13:48,,CORUNNA,Raptis Trawler Berths,Brisbane,Pacific Tug (Aust) PTY LTD,
Wed 12 Dec 2018 17:00,,PACIFIC INVESTIGATOR,Admiralty Anchorage,Cairns,Carpentaria Contracting,
Wed 13 Feb 2019 01:30,Sat 30 Mar 2019 00:00,ALAM PINTAR,North Anchorage 01,Hay Point,LBH Australia Pty Ltd (Mackay),DBCT Berth 1
Wed 13 Feb 2019 01:35,,PT MONTO,Rivergate Yacht Marina,Brisbane,Pacific Tug (Aust) PTY LTD,
Wed 13 Feb 2019 01:35,,H1201,Rivergate Yacht Marina,Brisbane,Pacific Tug (Aust) PTY LTD,
Wed 13 Feb 2019 09:26,,GULF EXPLORER,Admiralty Anchorage,Cairns,Tim North Marine Pty Ltd,
Wed 13 Feb 2019 09:26,,NORMAN REEF PONTOON,Admiralty Anchorage,Cairns,Tim North Marine Pty Ltd,
Wed 13 Feb 2019 15:20,Fri 15 Mar 2019 10:30,SOROCO,Abbot Point Anchorage,Abbot Point,LBH Australia Pty Ltd (Mackay),Abott Point 2
Wed 13 Mar 2019 00:44,Fri 15 Mar 2019 06:00,ILLAWARRA FORTUNE,North Anchorage 7,Gladstone,Wilhelmsen Ships Service (Gladstone),South Trees West
Wed 13 Mar 2019 01:30,Thu 14 Mar 2019 22:00,STI PONTIAC,Caltex Products,Brisbane,Gulf Agency Company (Brisbane),SEA
Wed 13 Mar 2019 03:00,Wed 20 Mar 2019 12:34,HAKUTA,North Anchorage 9,Gladstone,Monson Agencies Australia (Gladstone),Clinton Coal
Wed 13 Mar 2019 03:42,Thu 14 Mar 2019 13:00,SARGAM,North Anchorage 6,Gladstone,Wilhelmsen Ships Service (Gladstone),Fishermans Landing 1
Wed 13 Mar 2019 04:14,Sun 17 Mar 2019 00:00,KM NAGOYA,South Anchorage 13,Hay Point,Wilhelmsen Ships Services (Mackay),HPS Berth 1
Wed 13 Mar 2019 06:00,Fri 15 Mar 2019 06:30,DUHALLOW,South Anchorage 02,Hay Point,LBH Australia Pty Ltd (Mackay),HPS Berth 1
Wed 13 Mar 2019 07:06,Tue 19 Mar 2019 12:34,ROSTELLA,Point Cartwright Anchorage,Brisbane,Gulf Agency Company (Brisbane),Fisherman Island General Purpose Berth
Wed 13 Mar 2019 07:48,Fri 15 Mar 2019 15:15,HIGH BEAM,East Anchorage 5,Gladstone,Gulf Agency Company (Gladstone),Auckland Point 3
Wed 13 Mar 2019 08:55,,KESTREL BAY,Cairns 03 Wharf,Cairns,Sea Swift Pty Ltd,
Wed 13 Mar 2019 09:12,Thu 14 Mar 2019 21:45,RTM FLINDERS,Lorim West,Weipa,Wilhelmsen Ships Service (Weipa),SEA
